City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
215,Pathalgaon,IN,22.5667,83.4667,73.62,96,100,3.58,light rain
216,Kirakira,SB,-10.4544,161.9205,85.95,62,9,8.84,clear sky
217,Kalakamati,BW,-20.5929,27.3121,57.18,41,5,7.58,clear sky
218,Pevek,RU,69.7008,170.3133,35.91,88,90,2.89,overcast clouds
219,Faanui,PF,-16.4833,-151.75,78.35,78,6,13.02,light rain
220,Gidole,ET,5.65,37.3667,59.02,60,82,2.53,broken clouds
221,Novikovo,RU,51.1537,37.8879,63.48,84,73,3.76,broken clouds
222,Kenai,US,60.5544,-151.2583,69.03,71,98,7.85,overcast clouds
223,Norrkoping,SE,58.5942,16.1826,63.59,83,100,5.75,overcast clouds
224,Nikolskoye,RU,59.7035,30.7861,62.49,97,72,3.44,broken clouds
225,Yeppoon,AU,-23.1333,150.7333,67.78,76,26,8.46,scattered clouds
226,San Policarpo,PH,12.1791,125.5072,82.06,78,75,1.01,broken clouds
227,Lavrentiya,RU,65.5833,-171.0,42.53,90,100,10.2,overcast clouds
228,Geraldton,AU,-28.7667,114.6,48.61,81,0,14.97,clear sky
229,Severo-Kurilsk,RU,50.6789,156.125,51.8,98,100,15.08,light rain
230,Gizo,SB,-8.103,156.8419,83.86,71,44,5.97,light rain
231,Villagomez,CO,5.2737,-74.1961,61.47,98,100,4.0,overcast clouds
232,Poum,NC,-20.2333,164.0167,74.91,64,0,12.53,clear sky
233,Hay River,CA,60.8156,-115.7999,60.22,77,12,8.81,light rain
234,Oranjestad,AW,12.524,-70.027,80.46,84,5,22.1,clear sky
235,Shouguang,CN,36.88,118.7375,83.44,68,6,6.73,clear sky
236,Saint Anthony,US,45.0205,-93.218,75.65,52,27,3.0,scattered clouds
237,Labuhan,ID,-6.8844,112.2051,76.14,70,51,9.17,broken clouds
238,Eston,CA,51.1501,-108.7514,83.91,32,92,2.24,overcast clouds
239,Prata,BR,-19.3072,-48.9242,69.6,42,4,5.41,clear sky
240,Bathsheba,BB,13.2167,-59.5167,81.21,92,40,11.5,scattered clouds
241,Masunga,BW,-20.6246,27.4488,57.61,40,6,7.99,clear sky
242,Reconquista,AR,-29.15,-59.65,69.21,82,4,7.7,clear sky
243,Baykit,RU,61.67,96.37,62.53,63,74,2.84,broken clouds
244,Guangyuan,CN,32.442,105.823,81.05,73,92,1.36,overcast clouds
245,Luderitz,NA,-26.6481,15.1594,66.81,45,0,8.08,clear sky
246,Araxa,BR,-19.5933,-46.9406,61.81,57,15,4.81,few clouds
247,Sao Joao Da Barra,BR,-21.6403,-41.0511,71.37,83,5,12.24,clear sky
248,Shache,CN,38.4167,77.2406,88.11,16,100,13.82,overcast clouds
249,Gat,IL,31.61,34.7642,76.41,100,0,2.21,clear sky
250,Bela,IN,25.9333,81.9833,81.32,83,32,13.56,light rain
251,Ati,TD,13.2154,18.3353,86.14,55,100,11.14,overcast clouds
252,Namibe,AO,-15.1961,12.1522,63.7,83,0,6.78,clear sky
253,Vilyuysk,RU,63.7553,121.6247,73.33,51,60,6.98,broken clouds
254,Jaguarari,BR,-10.2639,-40.1958,63.93,83,100,9.98,overcast clouds
255,Brazzaville,CG,-4.2658,15.2832,76.98,67,92,7.9,light rain
256,Bandarbeyla,SO,9.4942,50.8122,77.47,73,88,25.17,overcast clouds
257,Andenes,NO,69.3143,16.1194,50.94,93,40,19.57,scattered clouds
258,Brokopondo,SR,4.75,-55.1667,76.86,88,100,6.89,light rain
259,Tasiilaq,GL,65.6145,-37.6368,41.16,87,86,4.27,overcast clouds
260,Vardo,NO,70.3705,31.1107,44.58,93,20,4.61,few clouds
261,Houma,US,29.5958,-90.7195,86.0,78,0,0.0,clear sky
262,Lasa,IT,46.6166,10.7002,67.69,93,2,2.06,clear sky
263,Iquitos,PE,-3.7481,-73.2472,72.84,94,100,1.9,overcast clouds
264,Yurla,RU,59.3259,54.3223,63.52,89,34,4.63,scattered clouds
265,Cururupu,BR,-1.8283,-44.8683,75.02,93,100,2.86,overcast clouds
266,Marzuq,YE,14.4,46.4667,77.27,64,100,4.43,overcast clouds
267,Samana,DO,19.2056,-69.3369,78.15,83,8,10.2,clear sky
268,Hovd,MN,48.0056,91.6419,65.19,25,0,5.84,clear sky
269,Vila Franca Do Campo,PT,37.7167,-25.4333,72.01,88,42,2.51,scattered clouds
270,Havre-Saint-Pierre,CA,50.2334,-63.5986,61.63,79,100,3.91,overcast clouds
271,Hinton,CA,53.4001,-117.5857,66.0,56,100,4.18,overcast clouds
272,Chongwe,ZM,-15.3292,28.682,55.71,58,1,2.55,clear sky
273,Uyuni,BO,-20.4597,-66.825,43.9,22,1,6.67,clear sky
274,Agirish,RU,61.9247,63.0231,54.12,80,99,3.71,overcast clouds
275,Yar-Sale,RU,66.8333,70.8333,49.17,85,100,11.7,overcast clouds
276,Terme,TR,41.2092,36.9739,64.8,74,0,5.99,clear sky
277,Te Anau,NZ,-45.4167,167.7167,44.78,73,98,2.01,overcast clouds
278,Grindavik,IS,63.8424,-22.4338,49.95,100,75,8.05,broken clouds
279,Qaqortoq,GL,60.7167,-46.0333,48.13,76,100,4.27,overcast clouds
280,Haines Junction,CA,60.7522,-137.5108,49.98,84,100,3.83,overcast clouds
281,Bojnurd,IR,37.4747,57.329,66.43,88,64,4.12,broken clouds
282,Yumen,CN,40.2833,97.2,80.49,24,39,14.29,scattered clouds
283,Sovetskiy,RU,61.3614,63.5842,57.49,85,47,3.87,scattered clouds
284,Kita,ML,13.0349,-9.4895,72.99,94,100,3.44,light rain
285,Price,US,39.5994,-110.8107,72.12,56,100,6.31,overcast clouds
286,Bo Rai,TH,12.5728,102.5371,85.68,84,33,1.79,scattered clouds
287,Tagusao,PH,9.1924,117.8141,83.86,72,26,3.2,scattered clouds
288,Tuatapere,NZ,-46.1333,167.6833,45.64,75,64,3.65,broken clouds
289,Erzin,TR,36.9559,36.2,72.86,44,0,4.9,clear sky
290,Marsh Harbour,BS,26.5412,-77.0636,82.8,73,7,14.63,clear sky
291,Port Blair,IN,11.6667,92.75,82.26,79,71,3.33,broken clouds
292,Lazaro Cardenas,MX,17.9583,-102.2,81.99,76,37,6.6,scattered clouds
293,Wasilla,US,61.5814,-149.4394,72.07,48,0,10.36,clear sky
294,Jasper,US,37.2001,-94.3502,96.87,70,85,2.24,overcast clouds
