City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
396,Kinel,RU,67.24,few clouds,53.2333,50.65,Hotel Mayak
397,Vokhtoga,RU,61.34,broken clouds,58.8147,41.0461,
398,Khuzhir,RU,53.15,moderate rain,53.1939,107.3397,Отель на озере Байкал Baikal View
403,Vyartsilya,RU,56.61,broken clouds,62.1764,30.693,Erakkoranta
404,Sosnogorsk,RU,48.6,overcast clouds,63.6023,53.8817,Жемчужина
405,Senno,RU,61.27,light rain,59.5336,33.9167,
406,Tucuman,AR,68.11,clear sky,-26.8241,-65.2226,Dallas Hotel Tucuman
407,Vestmanna,FO,47.32,broken clouds,62.1564,-7.1664,Vestmanna Camping
408,Ivanava,BY,55.29,overcast clouds,52.1451,25.5365,Bed&Breakfast Valeria
410,Bahar,IR,64.04,clear sky,34.9072,48.4414,هتل ولفجر
411,Inuvik,CA,61.29,few clouds,68.3499,-133.7218,Nova Inn Inuvik
412,Sikonge,TZ,69.08,broken clouds,-5.6333,32.7667,Sikonge Ndawvukilo Lodge
418,Mata,PT,69.76,clear sky,40.683,-7.4592,Hostel EntryFik
422,San Jeronimo,PE,43.3,overcast clouds,-11.9472,-75.2829,Tuki Llajta Pueblo Bonito Eco Lodge
424,Cap Malheureux,MU,64.47,clear sky,-19.9842,57.6142,Pereybere Hotel & Spa
427,Sept-Iles,CA,64.92,overcast clouds,50.2001,-66.3821,Comfort Inn
430,Huarmey,PE,63.77,broken clouds,-10.0681,-78.1522,Hotel Miramar
431,Husavik,IS,46.18,broken clouds,66.0449,-17.3389,Bjarnabúð
433,Serenje,ZM,53.76,clear sky,-13.2325,30.2352,The Kabaso's
435,Myre,NO,50.9,broken clouds,69.1036,15.9492,Alveland AS
436,Molochnoye,RU,60.55,light rain,59.2917,39.6787,"""Detskiy Sad Dlya Vzroslykh"""
